business_id,vector
-nRhUy_zFn6hBdBj2lYV-Q,"[0.08929293 0.08929293 0.08929293 0.08929293 0.08929293 0.08929293
 0.08929293 0.08929293]"
-oOKqZbYDt08zaWWyLZNIw,[nan nan nan nan nan nan nan nan]
-pIL05mB1SGgFuD0caEU1w,"[0.00590328 0.00590328 0.00590328 0.00590328 0.00590328 0.00590328
 0.00590328 0.00590328]"
-pfWtzvY8iNTFjDPXU1Kcw,"[0.57331804 0.57331804 0.57331804 0.57331804 0.57331804 0.57331804
 0.57331804 0.57331804]"
-qUUlgRB65oS5HXu8zJr2A,"[0.13574074 0.13574074 0.13574074 0.13574074 0.13574074 0.13574074
 0.13574074 0.13574074]"
-qXHVM5tgjiN_mnw8EdVkw,"[0.09381874 0.09381874 0.09381874 0.09381874 0.09381874 0.1009616
 0.09381874 0.09381874]"
-qboK8vzF3vwFM5heO70mQ,"[-0.11447917 -0.11447917 -0.11447917 -0.11447917 -0.11447917 -0.11447917
 -0.11447917 -0.11447917]"
-ubVkCv_U4815t3ibaIuhg,"[0.36288709 0.36288709 0.36288709 0.36288709 0.36288709 0.36288709
 0.36288709 0.36288709]"
-v2ZMJ9lN1gJ3wqzMRbTOA,"[0.21975594 0.21975594 0.21975594 0.21975594 0.21975594 0.22288094
 0.21975594 0.22142261]"
-xF5YR1_ok69eJdY0XSolg,[nan nan nan nan nan nan nan nan]
-xpvWJtC0yXeun4pJzvDAg,"[0.12671188 0.12671188 0.12671188 0.12671188 0.12753255 0.12671188
 0.12671188 0.12671188]"
-xqmBVNaTnLK72l5X6zlVg,"[0.3592123 0.3592123 0.3592123 0.3592123 0.3592123 0.3592123 0.3592123
 0.3592123]"
0-PUdq5ivIxv9wiZENUh2A,"[0.03222222 0.03222222 0.03222222 0.03222222 0.03222222 0.03222222
 0.03222222 0.03222222]"
0-TtzWmjREl7lIKDcmGONQ,"[0.08977828 0.08977828 0.08977828 0.08977828 0.08977828 0.08977828
 0.08977828 0.08977828]"
01o6K5ID_vW8tXZ7QAzPJg,"[0.1435119  0.1435119  0.1435119  0.1435119  0.1435119  0.1435119
 0.1935119  0.14017857]"
02eESJZNF3qigrJ3GNRgIQ,[nan nan nan nan nan nan nan nan]
02lz2JfT86ysBJPxnipXnQ,[nan nan nan nan nan nan nan nan]
036SeqOKaKx89Liw5RDKqA,[nan nan nan nan nan nan nan nan]
03Nlnwr1h-0CH4Ak_CQGyw,"[0.16532029 0.16532029 0.16532029 0.16532029 0.16532029 0.16532029
 0.16532029 0.16532029]"
03iycQCqrlY-a_j71JQJHQ,"[0.17634848 0.17634848 0.17634848 0.17634848 0.17634848 0.17634848
 0.17634848 0.17634848]"
04ZtW6rq8rPYD-kLhNY2_Q,[nan nan nan nan nan nan nan nan]
05OXAAq2RQ2NXTkwAJ1H-g,"[0.09355066 0.09355066 0.09355066 0.09355066 0.09355066 0.09355066
 0.09355066 0.12688399]"
06C1L7kC-m9V59tZc7KIeQ,"[0.05104167 0.05104167 0.08541667 0.05104167 0.05104167 0.05104167
 0.05104167 0.05104167]"
06CZ8ZPsWCj8Hle_0AHpVQ,"[-0.02744709 -0.02744709 -0.02744709 -0.02744709 -0.02744709 -0.02744709
 -0.02744709 -0.02744709]"
06vop9TL2yZrloLMtb_9sQ,[nan nan nan nan nan nan nan nan]
07ZateHZK5iqMxNs3g3r6Q,"[0.08967791 0.08967791 0.08967791 0.08967791 0.08967791 0.09472841
 0.08301124 0.08041865]"
09Enw-Dmv6ngENiNWVTPdw,[0.078125 0.078125 0.078125 0.078125 0.078125 0.078125 0.078125 0.078125]
09dvDJpGzg1ClGYiNnN_0g,"[0.3432457  0.3432457  0.3432457  0.3432457  0.3432457  0.3432457
 0.33282903 0.3432457 ]"
09pjh8dL9AavSLHkdKT4VQ,"[0.49442708 0.49442708 0.49442708 0.49442708 0.49442708 0.49442708
 0.49442708 0.49442708]"
0BFQrm3kPCwC_V4MvbiBIA,"[0.12532468 0.12532468 0.12532468 0.12532468 0.12532468 0.12532468
 0.12532468 0.12532468]"
0DDCXrCxGW1PU1qE1vTcZA,"[0.23895363 0.23895363 0.2398378  0.23936289 0.24283294 0.2411426
 0.23904941 0.24071882]"
0DFU571JmQmzdR6dcpzBRg,"[-0.06921756 -0.06921756 -0.06921756 -0.06921756 -0.06921756 -0.06921756
 -0.06921756 -0.06660887]"
0E_Ib8asFeN3buDxui0L0w,"[0.25326554 0.25326554 0.25326554 0.25326554 0.25841601 0.26550099
 0.25820933 0.25326554]"
0Exi1eTmdeHFTgYjLX7AtQ,"[0.11309695 0.11309695 0.11309695 0.11309695 0.11309695 0.11309695
 0.11309695 0.11309695]"
0GxmDBH2sc4gZng790o9Cw,"[0.09862013 0.09862013 0.09862013 0.09862013 0.09862013 0.09862013
 0.09862013 0.10159632]"
0HYJuFHALcoYX-i4B6-hYQ,"[0.06453144 0.06453144 0.06453144 0.06453144 0.06453144 0.06453144
 0.06453144 0.06453144]"
0Iaqx34HsUWc2MnZ0OPgcA,"[-0.00277778 -0.00277778 -0.00277778 -0.00277778 -0.00277778 -0.00277778
  0.05555556 -0.00277778]"
0IwqPJ0y7aeOsimw1AnflQ,[nan nan nan nan nan nan nan nan]
0JLkGesHFja7sEmtjiijHQ,[nan nan nan nan nan nan nan nan]
0LVDdXvdnqP5gz0B9Hu8YA,[nan nan nan nan nan nan nan nan]
0MAubmdZUjeCHlqy5nMuDw,"[0.18126157 0.18126157 0.18126157 0.18126157 0.18126157 0.18126157
 0.18126157 0.18126157]"
0NIXu8EWhXcKqrY2rg2Dqw,"[0.02617845 0.02617845 0.02617845 0.02617845 0.02617845 0.02617845
 0.02617845 0.02617845]"
0NK0knbek2VGaMp01UkENw,[nan nan nan nan nan nan nan nan]
0NO-NgyVBkIoosTb422UJA,[0.1875 0.1875 0.1875 0.1875 0.1875 0.1875 0.1875 0.1875]
0NhylBPrcpXUXZmqZL4T7w,[nan nan nan nan nan nan nan nan]
0NpOMGr1r_m4cJh5KVdYcw,"[-0.19808333 -0.19808333 -0.19808333 -0.19808333 -0.19808333 -0.19808333
 -0.19808333 -0.19808333]"
0Ny6DP19MLNKUqsCqLUSHw,[nan nan nan nan nan nan nan nan]
0Oj8TeBciLm1UExKhXYMZA,[nan nan nan nan nan nan nan nan]
0Oskle2GkyYMseuJ3TDwRA,[nan nan nan nan nan nan nan nan]
0PMKMyfX1j7Nc4esk1RaMg,[nan nan nan nan nan nan nan nan]
0PMMhCAz2S5dmcA9mJ3dRg,[nan nan nan nan nan nan nan nan]
0RCso1z8JNs5lKhjl_Dcuw,[0.16 0.16 0.16 0.16 0.16 0.16 0.16 0.16]
0SsOppQrQKXK1w_b4yFiyg,"[-0.08333333 -0.08333333 -0.08333333 -0.08333333 -0.08333333 -0.08333333
 -0.08333333 -0.08333333]"
0TFMXARsrtYSknEGCFAAhQ,"[0.05859375 0.05859375 0.05859375 0.05859375 0.05859375 0.05859375
 0.05859375 0.05859375]"
0TUspVqx5rZTkpmo2bQqLA,[nan nan nan nan nan nan nan nan]
0Tf8R0CYBLlPNb1JeIEbcQ,"[0.05827646 0.05827646 0.06494313 0.05827646 0.05827646 0.05827646
 0.06303837 0.05575545]"
0TrGJXDjUwk38vmpP-FN-g,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75]
0U8AQLy7zKfmsoMRVkw_2g,"[ 0.03338542  0.03338542  0.03338542  0.04171875 -0.0341369   0.04171875
  0.03338542  0.03338542]"
0UJm7Oblsz3OYS4JPjHvTA,"[0.13188776 0.13188776 0.13188776 0.13188776 0.13188776 0.13188776
 0.13188776 0.13188776]"
0V6Xbvo2-m848-BQTDegHQ,"[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667]"
0WAL6O1YvcJbeDRYeRm34w,"[0.19412897 0.19412897 0.19435487 0.19410219 0.19399988 0.19382561
 0.19635766 0.1988674 ]"
0W_6DPifCQwGU5N_LaiE9g,"[0.09166667 0.09166667 0.09166667 0.09166667 0.09166667 0.09166667
 0.09166667 0.09166667]"
0Xrlx6TzEKqxzz-82AABuQ,"[0.12150397 0.12150397 0.12150397 0.15312518 0.12150397 0.12150397
 0.12150397 0.12150397]"
0YGj0wkEBc5XkIG1ss4XXQ,"[0.14960483 0.14960483 0.14960483 0.14960483 0.14960483 0.15912864
 0.14960483 0.13554233]"
0_L8UlbIWSi71KmqOA9_jQ,"[0.14045337 0.14045337 0.14045337 0.13003671 0.14045337 0.14045337
 0.14045337 0.14045337]"
0_b7sBxmphrCwmKTJY1ekQ,"[0.40969837 0.40969837 0.40969837 0.40969837 0.40969837 0.40969837
 0.40969837 0.40969837]"
0_ohldeFwysbglrTLSGM4Q,"[0.16027778 0.16027778 0.16027778 0.16027778 0.16027778 0.16027778
 0.15611111 0.16027778]"
0_zwC5tHrz_4wna4zmCnpA,[nan nan nan nan nan nan nan nan]
0a2fKfP6_PIx0djDrcln6w,[nan nan nan nan nan nan nan nan]
0atzNJ2l4qHNnwLupGdq7w,[nan nan nan nan nan nan nan nan]
0crFnrLWPldjkmVOMWPmTQ,"[0.14167769 0.14167769 0.14167769 0.14167769 0.14167769 0.14167769
 0.14167769 0.14167769]"
0du8CZ9g4KoMeYTReQc3dg,[nan nan nan nan nan nan nan nan]
0e07EUYX8WpB0eZa6kZTDg,"[0.4021142 0.4021142 0.4021142 0.4021142 0.4021142 0.4120679 0.4021142
 0.4021142]"
0eecgfL4RuNIc9602SE3mw,"[0.23082016 0.23082016 0.23082016 0.22697401 0.23082016 0.29790349
 0.22697401 0.23538747]"
0fAPPibyLXLZ69ubtqxtfQ,"[-0.02083333 -0.02083333 -0.02083333 -0.02083333 -0.02083333 -0.02083333
 -0.02083333 -0.02083333]"
0fpZt6tSMR46124MvQgMaw,"[0.16347222 0.16347222 0.16347222 0.16347222 0.16347222 0.16347222
 0.16347222 0.16347222]"
0fq5tnKGWSCn7T5WOlbchQ,"[0.06224372 0.06224372 0.06224372 0.06224372 0.06224372 0.06224372
 0.06224372 0.06224372]"
0fxSNcE0IWJNL7oiOcyayA,"[0.10288134 0.10288134 0.10288134 0.10288134 0.10288134 0.10126096
 0.10288134 0.10288134]"
0h5yI6np7weAVH0jsjHqPw,[nan nan nan nan nan nan nan nan]
0jANG8owjfQ66fPPB2eBgA,"[0.27053022 0.27053022 0.27053022 0.27053022 0.27053022 0.27053022
 0.27053022 0.27053022]"
0kgib8EeCvEerG1R4T1okg,"[0.14931609 0.14931609 0.14931609 0.14945289 0.15082088 0.15338231
 0.15794354 0.15671781]"
0lm2kI7hkRKOYQKeYr3Pxg,"[0.26901111 0.26901111 0.26901111 0.26901111 0.26901111 0.26901111
 0.26901111 0.27392222]"
0n2us6pzfJ4UK9qy1NWYOg,[nan nan nan nan nan nan nan nan]
0p-3PlHw6FoWAs2ezJw3mA,"[0.27116167 0.27116167 0.27307699 0.27116167 0.27116167 0.27116167
 0.27116167 0.27116167]"
0pm-hpu8Rkfa16tLjWb-GQ,[nan nan nan nan nan nan nan nan]
0q8A_jB8ft7vExBQpxL2lg,"[0.09948371 0.09948371 0.09948371 0.09948371 0.09948371 0.09948371
 0.09919635 0.10503926]"
0sBD5F4iA2aNwG5ilEc4Vw,"[-0.01969697 -0.01969697 -0.01969697 -0.01969697 -0.01969697 -0.01969697
 -0.01969697 -0.01969697]"
0sE5o_dunOdUMvXVsaJSsA,"[0.0989534  0.09851938 0.0989534  0.09797603 0.0989534  0.0989534
 0.0989534  0.0989534 ]"
0sL-FjLOZoegyEWjmb9h8g,"[0.28886724 0.28886724 0.28886724 0.28886724 0.28583694 0.28886724
 0.28886724 0.28886724]"
0sQb2y9-yLstti4KhdGisA,[nan nan nan nan nan nan nan nan]
0vE7I7w2v_PtkC4CafQtgA,"[-0.07562831 -0.07562831 -0.07562831 -0.07562831 -0.07562831 -0.07562831
 -0.07562831 -0.07562831]"
0vpA-DzMp4gQ5jNO3qqW4g,"[0.29304082 0.31040194 0.29304082 0.29531355 0.30642466 0.29304082
 0.29304082 0.29304082]"
0wYSFb11r0XwaGVFVGEaCg,"[0.10606454 0.10606454 0.10606454 0.10636757 0.10606454 0.10606454
 0.10606454 0.10606454]"
0xJmAiVkPXaYYD4J-15RwQ,"[0.23680646 0.23680646 0.23680646 0.23680646 0.23680646 0.23680646
 0.23680646 0.23680646]"
0xSD8W3cPpXQnhWJRC7q5g,"[0.15006944 0.15006944 0.15006944 0.15006944 0.15006944 0.17506944
 0.15006944 0.15006944]"
0xyqLvtr0Zbr4G-gML-QmQ,[nan nan nan nan nan nan nan nan]
0yH5_sluR0BmgaxUyJUj1A,"[0.17524231 0.17524231 0.17524231 0.17524231 0.17524231 0.17524231
 0.17524231 0.17524231]"
0yHY4FHCTOIshPiPc9EYBQ,"[0.19232444 0.19232444 0.19232444 0.19232444 0.19232444 0.19232444
 0.19232444 0.19232444]"
0yISC4I6MckREoaao5hHZg,[nan nan nan nan nan nan nan nan]
0yK1H7pbWsbslgArv_GF6A,"[0.17387374 0.17387374 0.20720707 0.17387374 0.17387374 0.17387374
 0.17387374 0.17387374]"
1-ArjtGW6PytvR1NEWpXqg,[nan nan nan nan nan nan nan nan]
1-M9gfMQkQhIytQSv-mWEg,"[0.32228117 0.32228117 0.32228117 0.32228117 0.32228117 0.32228117
 0.32228117 0.32228117]"
118Q3FGUeC1HPvw2yLmvNw,"[0.29863163 0.29863163 0.29863163 0.29863163 0.31248106 0.29863163
 0.29863163 0.29863163]"
11SBmWaUtDMCqIvncSEnYQ,[nan nan nan nan nan nan nan nan]
11TptVg6LRkVssYLRSrpgA,"[0.07067551 0.07067551 0.07067551 0.07067551 0.07919823 0.07067551
 0.07067551 0.07067551]"
11tCrJwtA4XWyCazX5ziXQ,"[-0.02607281 -0.02422096 -0.02607281 -0.02607281 -0.02607281 -0.02607281
 -0.02375087 -0.02607281]"
11vopBwepN-JPTuffOLCww,[nan nan nan nan nan nan nan nan]
158NwFokYdwUGYlr06ZKog,"[0.08714286 0.08714286 0.08714286 0.08714286 0.08714286 0.08714286
 0.08714286 0.08714286]"
15HO5KGc4OnWXPeFsf2WVQ,[nan nan nan nan nan nan nan nan]
16jQV_PRCSRTSwdTDSHxwg,"[0.05878828 0.05878828 0.05878828 0.04906606 0.05878828 0.05878828
 0.05878828 0.05878828]"
16p9dChIZhDm5QiJrnBMxw,"[0.13703704 0.13703704 0.13703704 0.13703704 0.13703704 0.13703704
 0.13703704 0.13703704]"
188_qT1zNIkSAWInJLVgyg,[nan nan nan nan nan nan nan nan]
18Kq9h53nYbmXAIoMtj6HA,[nan nan nan nan nan nan nan nan]
18gN_BCI-vS8JHAtDN9Ztg,"[0.26376372 0.26376372 0.26339822 0.26376372 0.26376372 0.26376372
 0.26376372 0.26543457]"
19PbJ_1fqdm3mW0EkLxJ5g,"[0.24539305 0.24539305 0.24539305 0.24539305 0.24539305 0.24076342
 0.24539305 0.24539305]"
19Vh858DU1wS8eZGH_qw8A,"[0.26556764 0.26556764 0.26556764 0.26556764 0.26556764 0.26556764
 0.26556764 0.26556764]"
19r0pwKG8aeEO_hjDtDouw,"[0.15911758 0.15911758 0.15911758 0.16073048 0.15895181 0.15965521
 0.16472228 0.15911758]"
1A8kCJ6X_Idq54sq1_Bffw,[nan nan nan nan nan nan nan nan]
1APomaCTbhsAmgKVDalIlg,"[0.28247356 0.28247356 0.28247356 0.28247356 0.28574737 0.28898397
 0.2843675  0.28247356]"
1BWGgA_omh3i4zeXX5sqkA,"[0.16054834 0.16054834 0.16054834 0.17044418 0.16054834 0.16054834
 0.16054834 0.16129239]"
1B_Lol-zYexMSDwRSBe3gw,"[0.15607013 0.15607013 0.15607013 0.15607013 0.15607013 0.15607013
 0.15607013 0.15607013]"
1BlUHvhJydirTj33gOoWvQ,"[0.06779101 0.06779101 0.06779101 0.06779101 0.06779101 0.06779101
 0.06779101 0.06779101]"
1C8N7OKwHGwhp_rhjD7fFQ,[-0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.175]
1Dfx3zM-rW4n-31KeC8sJg,"[0.05883921 0.05883921 0.06404754 0.04550588 0.04550588 0.06626157
 0.05883921 0.05967833]"
1Dp_zUe2P4vfPMJ8ZmR_pA,"[0.09869729 0.09869729 0.09719729 0.09869729 0.09869729 0.09869729
 0.09869729 0.09869729]"
1FvN1961ct3_iv9SvdBGQA,[nan nan nan nan nan nan nan nan]
1GKoDNt26Icmww3dd7PcOg,[nan nan nan nan nan nan nan nan]
1HD5iUUfVJDbfEBIn9yVhw,[nan nan nan nan nan nan nan nan]
1HejAI1OQDkw69qu7PcKfw,"[-0.03263889 -0.03263889 -0.03263889 -0.03263889 -0.03263889 -0.03263889
 -0.03263889 -0.03263889]"
1HjiSm0KE6F4OC-HW-TAgA,"[0.18135867 0.18135867 0.18135867 0.18135867 0.18135867 0.18135867
 0.18135867 0.18135867]"
1HwPh8FdJVFdX2ygVq_DAQ,[nan nan nan nan nan nan nan nan]
1Iou9yzn20mFUP1wOye4mw,"[0.06570707 0.06570707 0.06570707 0.06570707 0.06570707 0.06570707
 0.05186869 0.06570707]"
1JIp6XHaXYkFCO90Z8tVRA,"[0.06333483 0.06333483 0.06333483 0.06333483 0.06333483 0.05619197
 0.05619197 0.06333483]"
1Jw6wQ4qXDj18m3dDOlgAw,"[0.08148148 0.08148148 0.08148148 0.08148148 0.08148148 0.08148148
 0.08148148 0.08148148]"
1KozbyfbA4sk6z8ycPWddg,[0.540625 0.540625 0.540625 0.540625 0.540625 0.540625 0.540625 0.540625]
1Kq_blM7ROYESz6i6FI_QQ,[nan nan nan nan nan nan nan nan]
1LmdjQv3-5v8vpiF08UhLw,"[0.37777778 0.37777778 0.37777778 0.37777778 0.37777778 0.37777778
 0.37777778 0.37777778]"
1LtmnNKb63XUwq9_NidV9Q,[0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4]
1MpaVGIL6S58X5Pvz3jWvA,[nan nan nan nan nan nan nan nan]
1MxyFhzNpeIvTQHjtp-bSg,[nan nan nan nan nan nan nan nan]
1N0NhvtN1JmPlozjuY_QfQ,[nan nan nan nan nan nan nan nan]
1NJPR31R-LNvDTcY_NaPmQ,"[0.00757384 0.00757384 0.00538086 0.00757384 0.0075446  0.00915984
 0.00726683 0.00757384]"
1Np2xKwZ7shefFHCDEfioQ,[0. 0. 0. 0. 0. 0. 0. 0.]
1OJCY-F6tT6FFN8JKgwQBg,[0. 0. 0. 0. 0. 0. 0. 0.]
1QFT7S3Q2ZsS-lPz0CmubA,[1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1]
1QJFpZxLbHbXSKohWp9uIA,[nan nan nan nan nan nan nan nan]
1Q_VjzXaq8Ad4rvSVOWpcg,[nan nan nan nan nan nan nan nan]
1QlPD5kYn3Yb-yDpuVa4bg,"[0.09027273 0.09027273 0.09027273 0.09124676 0.09124676 0.09027273
 0.09027273 0.09027273]"
1S2FAvvL8CBIC6UkmRd9BA,"[0.10640273 0.10640273 0.10640273 0.10640273 0.10640273 0.10640273
 0.10640273 0.10640273]"
1SWheh84yJXfytovILXOAQ,"[-0.01388889 -0.01388889 -0.01388889 -0.01388889 -0.01388889 -0.01388889
 -0.01388889 -0.01388889]"
1SjeqwgRWQTFS8AkgGXqkg,"[0.35780777 0.35780777 0.35780777 0.35780777 0.35780777 0.35780777
 0.35780777 0.35780777]"
1TYFwHObduSWn_1inRzkBQ,"[0.29856962 0.29856962 0.29856962 0.29856962 0.29856962 0.29876323
 0.29856962 0.29856962]"
1UzDyUo3btt4L92fWf5VvQ,[nan nan nan nan nan nan nan nan]
1VKjDpPJdVoiRc8I9f7U9g,[nan nan nan nan nan nan nan nan]
1VYwqxh9WrFX8HHL0UWFkQ,[nan nan nan nan nan nan nan nan]
1XOty79t4o_e3v0OOw8LTA,[nan nan nan nan nan nan nan nan]
1YBpnyR_VlJNjrUzNVXYDQ,"[0.33880952 0.33880952 0.33880952 0.33880952 0.33880952 0.33880952
 0.33880952 0.33880952]"
1Z3qJi5rY9aiAaqFkatkDg,[nan nan nan nan nan nan nan nan]
1Zj-3vHzbuhCOdO1sZVXlQ,[0. 0. 0. 0. 0. 0. 0. 0.]
1_4vi3UZW-Cb__Gp6gkBQA,"[0.00587963 0.00587963 0.00587963 0.00587963 0.00587963 0.00587963
 0.00587963 0.00587963]"
1_8L4ago8-ht0ckNO6ITgA,[nan nan nan nan nan nan nan nan]
1buqH6E5R2jPOrTQDF6sFQ,"[-0.18429812 -0.18429812 -0.18429812 -0.18429812 -0.18429812 -0.18429812
 -0.18429812 -0.18429812]"
1cSyaBO99dCt4Kerg5SXUw,"[0.11048361 0.11048361 0.11048361 0.11048361 0.11048361 0.11048361
 0.11048361 0.11048361]"
1cXhSIIuwfAyd0dRZWuULw,[nan nan nan nan nan nan nan nan]
1ciLSKXkKd2nHgRyDikyxQ,[nan nan nan nan nan nan nan nan]
1dfrs_FN403fLRYqF825aw,"[0.2918176  0.2918176  0.30738537 0.2918176  0.29422145 0.2918176
 0.2918176  0.2918176 ]"
1f7AEcZfKF7F4hvehrUqaw,[nan nan nan nan nan nan nan nan]
